Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Date
Toyota,Used,Diesel,1.0,Prado,2100000,Karachi,Cash,1997.0,2019-08-13
Suzuki,Used,Petrol,100000.0,Bolan,380000,Karachi,Cash,2006.0,2019-06-22
Suzuki,Used,CNG,12345.0,Bolan,340000,Karachi,Cash,1998.0,2019-01-04
Suzuki,Used,Petrol,94000.0,Alto,535000,Karachi,Cash,2010.0,2019-09-08
Toyota,Used,Petrol,100000.0,Corolla XLI,1430000,Karachi,Cash,2013.0,2018-12-07
Toyota,Used,Petrol,80000.0,Corrolla Altis,1620000,Karachi,Cash,2012.0,2019-09-07
Suzuki,New,CNG,65000.0,Cultus VXL,450000,Karachi,Cash,2006.0,2019-07-11
Toyota,New,Petrol,10241.0,Corrolla Altis,2900000,Karachi,Cash,2017.0,2019-05-08
Suzuki,Used,CNG,83000.0,Alto,490000,Karachi,Cash,2009.0,2019-01-10
Honda,Used,Petrol,1.0,Civic VTi,480000,Karachi,Cash,1997.0,2019-07-14
Suzuki,Used,CNG,123.0,Khyber,230000,Karachi,Cash,1994.0,2019-12-08
Suzuki,Used,CNG,73000.0,Liana,535000,Karachi,Cash,2006.0,2019-03-14
Toyota,Used,Petrol,78000.0,Passo,770000,Karachi,Cash,2006.0,2018-09-20
Honda,Used,Petrol,1.0,Civic Prosmetic,490000,Karachi,Cash,1997.0,2019-06-18
Honda,Used,CNG,170000.0,Civic EXi,160000,Karachi,Cash,1984.0,2018-10-13
Suzuki,Used,Petrol,200000.0,Alto,425000,Karachi,Cash,2005.0,2019-04-23
Daihatsu,Used,Petrol,100000.0,Charade,180000,Karachi,Cash,1988.0,2019-07-24
Mitsubishi,Used,Petrol,82000.0,Pajero Mini,520000,Karachi,Cash,1995.0,2019-02-04
Suzuki,Used,CNG,10000.0,Margalla,400000,Karachi,Cash,1990.0,2019-10-28
Honda,Used,Petrol,69500.0,City IVTEC,1400000,Karachi,Cash,2014.0,2019-01-23
Suzuki,Used,CNG,10000.0,Khyber,175000,Karachi,Cash,1989.0,2019-01-03
KIA,Used,CNG,123456.0,Classic,120000,Karachi,Cash,2001.0,2018-09-30
Honda,Used,CNG,87611.0,Civic EXi,590000,Karachi,Cash,2000.0,2019-01-03
Honda,Used,Hybrid,19000.0,Other,425000,Karachi,Cash,1995.0,2019-11-15
Honda,Used,CNG,99000.0,Civic EXi,685000,Karachi,Cash,2005.0,2019-09-07
Suzuki,Used,CNG,88000.0,Alto,465000,Karachi,Cash,2007.0,2019-03-31
Toyota,Used,Petrol,75000.0,Corolla GLI,1190000,Karachi,Cash,2010.0,2019-08-14
Other Brands,Used,Petrol,124000.0,Other,850000,Karachi,Cash,2010.0,2019-05-12
Suzuki,Used,CNG,76000.0,Cultus VXR,370000,Karachi,Cash,2002.0,2019-12-20
Nissan,New,Petrol,47000.0,Dayz Highway Star,1175000,Karachi,Cash,2013.0,2019-05-25
Toyota,New,Petrol,43000.0,Corolla XLI,1675000,Karachi,Cash,2015.0,2019-06-30
Suzuki,Used,CNG,3875.0,Mehran VX,195000,Karachi,Cash,1999.0,2019-03-18
Suzuki,Used,CNG,98000.0,Mehran VX,165000,Karachi,Cash,1991.0,2019-04-03
Suzuki,Used,Petrol,1000.0,Alto,420000,Karachi,Cash,2006.0,2019-04-19
Toyota,Used,Petrol,39000.0,Vitz,1430000,Karachi,Cash,2014.0,2019-11-13
Suzuki,Used,CNG,127000.0,Mehran VXR,150000,Karachi,Cash,1991.0,2019-04-19
Suzuki,Used,LPG,786.0,Carry,130000,Karachi,Cash,1982.0,2019-04-09
Suzuki,Used,CNG,70.0,Cultus VXR,415000,Karachi,Cash,2004.0,2019-02-23
Suzuki,Used,CNG,99999.0,Mehran VX,185000,Karachi,Cash,1997.0,2019-07-07
Toyota,Used,Petrol,89000.0,Passo,1040000,Karachi,Cash,2010.0,2018-08-30
Suzuki,Used,CNG,1.0,Cultus VX,400000,Karachi,Cash,2002.0,2019-11-08
Suzuki,Used,Petrol,100000.0,Cultus VXR,360000,Karachi,Cash,2001.0,2019-07-07
Toyota,New,Petrol,69000.0,Vitz,1150000,Karachi,Cash,2003.0,2019-07-10
Suzuki,New,CNG,65000.0,Mehran VX,265000,Karachi,Cash,2005.0,2019-09-25
Suzuki,New,CNG,73000.0,Mehran VXR,435000,Karachi,Cash,2009.0,2019-11-04
Toyota,Used,Petrol,163000.0,Corolla GLI,1220000,Karachi,Cash,2009.0,2019-10-16
Suzuki,Used,CNG,56.0,Cultus VXR,780000,Karachi,Cash,2011.0,2019-10-17
Suzuki,Used,CNG,10000.0,Bolan,250000,Karachi,Cash,1987.0,2019-05-09
Toyota,Used,Petrol,190.0,Corrolla Altis,875000,Karachi,Cash,2004.0,2019-10-23
Toyota,Used,CNG,65000.0,Corolla XLI,1260000,Karachi,Cash,2013.0,2019-02-10
Suzuki,Used,Petrol,65000.0,Cultus VXR,840000,Karachi,Cash,2013.0,2019-02-20
Suzuki,Used,CNG,174000.0,Alto,350000,Karachi,Cash,2004.0,2019-01-05
Suzuki,Used,Petrol,5458.0,Baleno,380000,Karachi,Cash,2001.0,2018-08-29
Suzuki,Used,Petrol,90000.0,Alto,340000,Karachi,Cash,2007.0,2019-10-18
Daihatsu,Used,Petrol,88000.0,Mira,1050000,Karachi,Cash,2013.0,2018-10-19
Toyota,Used,CNG,200000.0,Vitz,730000,Karachi,Cash,2006.0,2019-11-22
Suzuki,Used,CNG,28800.0,Mehran VXR,195000,Karachi,Cash,1995.0,2018-08-27
Honda,New,Petrol,95000.0,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007.0,2019-10-26
Daihatsu,Used,CNG,71000.0,Cuore,410000,Karachi,Cash,2001.0,2019-05-23
Daihatsu,Used,CNG,100.0,Charade,155000,Karachi,Cash,1984.0,2018-10-21
Suzuki,Used,CNG,1.0,Margalla,320000,Karachi,Cash,1994.0,2019-02-09
Toyota,Used,Diesel,134000.0,Corolla 2.0 D,1080000,Karachi,Cash,2010.0,2019-11-18
Suzuki,Used,CNG,1.0,Bolan,290000,Karachi,Cash,1993.0,2018-12-30
Toyota,Used,Petrol,123456.0,Corolla XE,570000,Karachi,Cash,1998.0,2019-11-29
Toyota,Used,Petrol,92000.0,Surf,4150000,Karachi,Cash,2007.0,2019-10-14
Suzuki,Used,CNG,1.0,FX,90000,Karachi,Cash,1988.0,2018-10-10
Suzuki,New,Petrol,36000.0,Mehran VXR,590000,Karachi,Cash,2015.0,2019-09-03
Toyota,Used,Petrol,40000.0,Corolla GLI,1740000,Karachi,Cash,2015.0,2018-10-14
Toyota,Used,Petrol,85010.0,Corolla GLI,916000,Karachi,Cash,2004.0,2019-03-18
Daihatsu,New,Petrol,153736.0,Cuore,535000,Karachi,Cash,2006.0,2019-06-02
Suzuki,Used,CNG,17000.0,Mehran VX,110000,Hyderabad,Cash,1991.0,2018-08-08
Honda,Used,Petrol,100000.0,City IDSI,765000,Karachi,Cash,2004.0,2019-03-12
Toyota,Used,Petrol,130000.0,Premio,1150000,Karachi,Cash,2003.0,2018-10-28
Suzuki,Used,Petrol,150000.0,Alto,410000,Karachi,Cash,2007.0,2018-11-10
Suzuki,Used,CNG,17000.0,Mehran VX,110000,Hyderabad,Cash,1991.0,2019-04-01
Honda,Used,Petrol,100000.0,City IDSI,765000,Karachi,Cash,2004.0,2018-10-17
Toyota,Used,Petrol,130000.0,Premio,1150000,Karachi,Cash,2003.0,2019-02-18
Suzuki,Used,Petrol,150000.0,Alto,410000,Karachi,Cash,2007.0,2019-08-17
Toyota,Used,Petrol,55000.0,Corolla GLI,1890000,Karachi,Cash,2016.0,2019-09-28
Suzuki,Used,Petrol,70000.0,Cultus VXR,790000,Karachi,Cash,2011.0,2019-09-03
Daihatsu,Used,Petrol,102000.0,Mira,785000,Karachi,Cash,2011.0,2019-05-13
Suzuki,Used,Petrol,1700000.0,Mehran VX,270000,Karachi,Cash,2006.0,2018-09-22
Toyota,Used,CNG,100000.0,Sprinter,150000,Karachi,Cash,1987.0,2019-06-23
BMW,Used,CNG,53524.0,3 Series,550000,Karachi,Cash,1997.0,2018-11-13
Mazda,Used,Petrol,78000.0,Other,825000,Karachi,Cash,2007.0,2018-12-21
Toyota,Used,Diesel,40000.0,Hilux,3850000,Karachi,Cash,2013.0,2019-02-07
Suzuki,Used,Petrol,90000.0,Mehran VXR,490000,Karachi,Cash,2012.0,2019-03-04
Toyota,Used,Petrol,40000.0,Vitz,1250000,Karachi,Cash,2010.0,2019-09-05
Daihatsu,Used,Petrol,80000.0,Charade,135000,Karachi,Cash,1986.0,2019-10-02
Mitsubishi,New,Petrol,96000.0,Lancer,780000,Karachi,Cash,2008.0,2019-05-16
Other Brands,Used,Diesel,38000.0,Other,4500000,Karachi,Cash,2012.0,2019-12-10
Suzuki,Used,Petrol,83000.0,Alto,430000,Karachi,Cash,2006.0,2019-08-15
Honda,New,Petrol,10900.0,Civic VTi Oriel Prosmatec,2880000,Karachi,Cash,2017.0,2019-04-22
